Category: All categories

Week,contagion: (United States)
2020-02-09,5
2020-02-16,5
2020-02-23,10
2020-03-01,17
2020-03-08,63
2020-03-15,100
2020-03-22,64
2020-03-29,42
2020-04-05,23
2020-04-12,15
2020-04-19,10
2020-04-26,9
2020-05-03,9
2020-05-10,9
2020-05-17,7
2020-05-24,7
2020-05-31,4
2020-06-07,3
2020-06-14,4
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,3
2020-07-26,3
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,2
2020-08-30,2
2020-09-06,2
2020-09-13,2
2020-09-20,2
2020-09-27,2
2020-10-04,2
2020-10-11,2
2020-10-18,2
2020-10-25,2
2020-11-01,1
2020-11-08,2
2020-11-15,3
2020-11-22,3
2020-11-29,3
2020-12-06,3
2020-12-13,3
2020-12-20,3
2020-12-27,4
2021-01-03,2
2021-01-10,2
2021-01-17,2
2021-01-24,2
2021-01-31,1
