COVID-19 Vaccinations in the United States
Date generated: Mon Apr 19 2021 10:34:22 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,746705,102072,135380,515501,70467,505524,91653,290503,39.7,284290,51.5,234553,32.1,230746,41.8,374205,320900,51600,0,13582,230923,270924,72,100690,121076,12773,14,100512,117507,12713,14,221780,39.7,284290,51.5,30.3,218033,39.5,290503,70130,76.6,64514,70.4,37134,25932,1442,6,131556,143639,815287
Alabama,3664740,74742,96064,2292276,46751,2284016,59871,1481314,30.2,1473882,38.6,943129,19.2,942101,24.7,1804140,1616600,244000,0,72029,1097778,1122469,0,421619,447800,73665,45,421570,446854,73632,45,869464,30.2,1473882,38.6,17.7,868469,22.8,1481314,598746,70.5,452399,53.2,237026,192604,22737,32,1008219,118637,431229
Arkansas,2370830,78561,102295,1611803,53410,1600314,69049,1010421,33.5,1000390,43.2,651184,21.6,649355,28,1168830,1044100,157900,0,53770,760062,797588,383,296116,302388,52586,94,296035,300892,52336,92,598598,33.5,1000390,43.2,19.8,597019,25.8,1010421,375169,71.6,287030,54.8,165381,113063,8520,66,653230,124690,452550
American Samoa,43810,78669,100859,35972,64594,34845,80220,20248,36.4,19594,45.1,15809,28.4,15339,35.3,30810,12400,600,0,0,8019,27953,0,3534,12269,6,0,3525,11808,6,0,15803,36.4,19594,45.1,28.4,15333,35.3,20248,2356,24.9,2049,21.6,814,1234,1,0,4344,45886,462765
Arizona,5738495,78839,101774,4505745,61903,4462897,79151,2725197,37.4,2691892,47.7,1780037,24.5,1772600,31.4,2890095,2475600,372800,0,127863,1978027,2397447,2408,731914,923820,123509,794,731811,916560,123435,794,1656528,37.4,2691892,47.7,22.8,1649165,29.2,2725197,1006506,76.9,791984,60.5,378914,388786,23755,529,1846421,141095,438511
Bureau of Prisons,137790,N/A,N/A,133323,N/A,133322,N/A,78272,N/A,78271,N/A,56110,N/A,56110,N/A,78390,52800,6600,0,1737,51712,79874,0,21183,33202,1725,0,21183,33202,1725,0,54385,N/A,78271,N/A,0,54385,0,78272,2912,0,2372,0,1129,1213,30,0,5286,0,0
California,32618010,82552,106534,26092008,66035,25856340,84449,17076851,43.2,16881262,55.1,9897558,25,9854773,32.2,16578510,13780200,2259300,0,1063465,11595780,13430034,2729,4084961,4757323,1054725,549,4082098,4720970,1051157,548,8842833,43.2,16881262,55.1,22.4,8803616,28.8,17076851,4984858,85.4,3686513,63.1,1916201,1660158,109843,311,8632423,147863,558708
Colorado,4515250,78407,100356,3790514,65822,3751250,83376,2418793,42,2384689,53,1482555,25.7,1476866,32.8,2260050,1965000,290200,0,142065,1740145,1907268,1036,643501,698451,140314,289,643173,693626,139778,289,1342241,42,2384689,53,23.3,1337088,29.7,2418793,684018,81.2,588556,69.9,295705,280261,12466,124,1271716,150961,535991
Connecticut,3395165,95228,119639,2770457,77706,2746587,96784,1744185,48.9,1721705,60.7,1127897,31.6,1126671,39.7,1799265,1376100,219800,0,116708,1160727,1492806,216,455581,555364,116907,45,455353,554452,116821,45,1010990,48.9,1721705,60.7,28.4,1009850,35.6,1744185,555539,88.1,486781,77.2,189160,286642,10962,17,1043512,165573,538706
District of Columbia,683975,96915,118421,511693,72504,510292,88350,288396,40.9,287036,49.7,165820,23.5,165431,28.6,359775,279700,44500,0,19778,193832,298081,2,59103,82951,23740,26,59100,82581,23725,25,142080,40.9,287036,49.7,20.1,141706,24.5,288396,65315,74.8,48520,55.6,26430,20517,1564,9,140501,160861,783091
