COVID-19 Vaccinations in the United States
Date generated: Thu Apr 29 2021 14:49:38 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,768205,105011,139278,550524,75255,538551,97641,304657,41.6,297499,53.9,255008,34.9,250155,45.4,385905,329100,53200,0,14020,246893,289534,77,111406,130510,13075,17,111158,125966,13014,17,241933,41.6,297499,53.9,33.1,237141,43,304657,71197,77.7,65990,72.1,37960,26548,1473,9,134013,146322,838762
Alabama,4042070,82438,105955,2559938,52210,2547545,66779,1579093,32.2,1569193,41.1,1121348,22.9,1118583,29.3,2025270,1772600,244200,0,73416,1218436,1268086,0,497431,548737,75121,59,497349,546088,75087,59,1046227,32.2,1569193,41.1,21.3,1043496,27.4,1579093,615675,72.4,492411,57.9,258986,210284,23103,38,1064044,125206,475629
Arkansas,2628460,87098,113411,1772085,58721,1754838,75716,1067532,35.4,1054305,45.5,754913,25,750528,32.4,1308060,1162000,158400,0,54678,831965,884999,443,341699,359765,53345,104,341511,355819,53096,102,701568,35.4,1054305,45.5,23.2,697432,30.1,1067532,382719,73.1,304257,58.1,174716,120835,8636,70,678142,129446,501727
American Samoa,54030,97021,124387,38337,68841,37077,85358,21552,38.7,20818,47.9,16914,30.4,16391,37.7,37830,15600,600,0,22,8667,29648,0,3795,13091,28,0,3785,12578,28,0,16886,38.7,20818,47.9,30.3,16363,37.7,21552,2445,25.8,2149,22.7,867,1276,6,0,4523,47776,570719
Arizona,6536895,89808,115934,5024348,69028,4959701,87962,2943500,40.4,2901097,51.5,2078095,28.6,2058192,36.5,3299595,2864200,373100,0,134272,2196310,2690866,2900,848660,1098763,129708,964,848509,1079096,129623,964,1948387,40.4,2901097,51.5,26.8,1928569,34.2,2943500,1031671,78.8,832250,63.6,406902,400007,24706,635,1913832,146247,499521
Bureau of Prisons,158890,N/A,N/A,148122,N/A,148121,N/A,84258,N/A,84257,N/A,65097,N/A,65097,N/A,90090,61500,7300,0,1962,57879,88281,0,24383,38765,1949,0,24383,38765,1949,0,63148,N/A,84257,N/A,0,63148,0,84258,3006,0,2603,0,1267,1303,33,0,5608,0,0
California,38562350,97596,125948,29957450,75818,29538416,96475,19054735,48.2,18714614,61.1,11796688,29.9,11715014,38.3,19938750,16355300,2268300,0,1084751,13234547,15634857,3295,4974986,5745261,1075715,726,4969707,5672577,1072005,725,10720973,48.2,18714614,61.1,27.1,10643009,34.8,19054735,5084361,87.1,3857747,66.1,2011711,1733780,111883,373,8904048,152516,660527
Colorado,5335910,92658,118596,4388497,76206,4327596,96186,2658086,46.2,2609846,58,1824323,31.7,1811181,40.3,2725710,2319700,290500,0,144324,1987109,2255914,1150,793343,888225,142431,324,792645,876331,141881,324,1681892,46.2,2609846,58,29.2,1669300,37.1,2658086,697956,82.9,606435,72,305393,288247,12653,142,1312345,155784,633409
Connecticut,3832005,107481,135032,3184543,89321,3141186,110689,1937627,54.3,1899634,66.9,1350870,37.9,1346157,47.4,2023905,1581300,226800,0,122077,1313350,1748865,251,536724,691925,122165,56,536461,687582,122058,56,1228705,54.3,1899634,66.9,34.5,1224099,43.1,1937627,567243,90,507613,80.5,199449,296687,11458,19,1075636,170670,608019
District of Columbia,827895,117307,143338,595665,84402,593300,102722,334206,47.4,331894,57.5,206340,29.2,205615,35.6,448695,334500,44700,0,20716,232422,342490,37,74973,106856,24481,30,74964,106156,24466,29,181859,47.4,331894,57.5,25.8,181149,31.4,334206,67189,76.9,51852,59.4,28545,21663,1635,9,145944,167093,947866
Dept of Defense,3711500,N/A,N/A,2854656,N/A,2835145,N/A,1762263,N/A,1746624,N/A,1077215,N/A,1073675,N/A,1973400,1568600,169500,0,64906,1272253,1517098,399,446108,569116,61991,0,446066,565636,61973,0,1015224,N/A,1746624,N/A,0,1011702,0,1762263,161438,0,110447,0,38631,68906,2910,0,277549,0,0
Delaware,967025,99308,125556,748392,76856,740878,96194,450711,46.3,445403,57.8,309366,31.8,308142,40,502125,410700,54200,0,33614,299895,414667,216,112096,164285,32891,94,112066,163115,32867,94,276475,46.3,445403,57.8,28.4,275275,35.7,450711,165425,87.6,137915,73,56146,74913,6795,61,304529,161207,511908
Florida,20311695,94571,117764,15013785,69904,14923155,86522,8879732,41.3,8801568,51,6136199,28.6,6124456,35.5,10510695,8452400,1348600,0,538738,6541551,7909759,23737,2518233,3077251,532994,7721,2517582,3066423,532731,7720,5603205,41.3,8801568,51,26.1,5591725,32.4,8879732,3770505,83.8,3098363,68.9,1555210,1410043,127008,6102,7152089,159029,451638
Federated States of Micronesia,63200,60979,78177,34536,33322,34516,42696,20423,19.7,20407,25.2,14248,13.7,14244,17.6,0,61600,1600,0,150,34386,0,0,14073,23,152,0,14069,23,152,0,14096,19.7,20407,25.2,13.6,14092,17.4,20423,1819,10.3,1419,8.1,1384,5,30,0,3191,18111,358704
Georgia,9239535,87022,113878,6218010,58564,6153083,75837,3684661,34.7,3636090,44.8,2527545,23.8,2511139,30.9,4760535,3976800,502200,0,141128,2812430,3264048,404,1132589,1256651,138071,234,1132395,1240648,137864,232,2389474,34.7,3636090,44.8,22.5,2373275,29.3,3684661,1151789,75.9,948495,62.5,535898,394592,17868,137,2168624,142959,609085
Guam,140740,84902,108848,128681,77627,125726,97237,75689,45.7,73607,56.9,53414,32.2,52543,40.6,76440,53200,11100,0,1211,50436,77034,0,20455,31743,1216,0,20452,30875,1216,0,52198,45.7,73607,56.9,31.5,51327,39.7,75689,13675,48.5,11634,41.3,4911,6624,99,0,25371,90029,499414
Hawaii,1465070,103475,131278,1209189,85402,1196503,107213,737226,52.1,725819,65,496734,35.1,494825,44.3,792870,601900,70300,0,20856,424121,670452,93760,173143,284229,21295,18067,173005,282552,21218,18050,475439,52.1,725819,65,33.6,473607,42.4,737226,229291,85.4,184292,68.7,74890,103438,4555,1409,407695,151871,545756
Iowa,2790335,88440,114912,2351211,74522,2330420,95972,1383035,43.8,1366623,56.3,1046172,33.2,1041913,42.9,1418235,1209700,162400,0,90700,1084098,1176291,122,473481,483293,89347,51,473423,479134,89305,51,956825,43.8,1366623,56.3,30.3,952608,39.2,1383035,470307,85.1,431049,78,232112,191535,7363,39,898428,162478,504623
Idaho,1419415,79427,106016,1066942,59704,1066901,79687,602930,33.7,602828,45,475681,26.6,475647,35.5,720915,610800,87700,0,30579,476397,559476,490,203318,241757,30460,146,203315,241736,30450,146,445221,33.7,602828,45,24.9,445197,33.3,602930,221320,76.1,201627,69.4,94465,100477,6620,65,421599,145044,488325
Indian Health Svc,1683415,80824,N/A,1237506,59415,1209726,N/A,712421,34.2,695149,N/A,536890,25.8,526423,N/A,705315,904700,73400,0,19448,694484,523574,0,290529,227063,19298,0,290369,216786,19268,0,517592,34.2,695149,N/A,24.9,507155,0,712421,144457,0,114783,0,66008,46735,2040,0,260185,0,0
Illinois,11924315,94101,121011,9335649,73673,9225515,93623,5836316,46.1,5741907,58.3,3790076,29.9,3769898,38.3,6243315,4971300,709700,0,307221,3999148,5024355,4925,1541360,1939400,307675,1641,1540034,1921805,306423,1636,3482401,46.1,5741907,58.3,27.5,3463475,35.1,5836316,1710458,83.7,1323585,64.8,618956,657404,46214,1011,2990253,146349,583601
Indiana,5443410,80856,105406,4089471,60745,4058872,78596,2406345,35.7,2381649,46.1,1767251,26.3,1763540,34.1,2854410,2251200,337800,0,132024,1724924,2224596,7927,712349,921726,130571,2605,712289,918149,130498,2604,1636680,35.7,2381649,46.1,24.3,1633042,31.6,2406345,847020,78,775798,71.5,389626,368779,15686,1707,1632162,150327,501353
Kansas,2727885,93635,123263,1997118,68551,1979147,89430,1233392,42.3,1218373,55.1,902408,31,896756,40.5,1365585,1219200,143100,0,57389,926002,1013201,526,402473,441953,57825,157,402408,436401,57790,157,844583,42.3,1218373,55.1,29,838966,37.9,1233392,417157,87.7,343800,72.3,168073,165036,10603,88,731208,153781,573703
Kentucky,3906775,87445,112756,3110315,69618,3085076,89040,1822975,40.8,1804270,52.1,1400209,31.3,1394104,40.2,1997775,1686900,222100,0,107028,1401977,1601007,303,599024,696608,104344,233,598948,690634,104290,232,1295865,40.8,1804270,52.1,29,1289814,37.2,1822975,602941,80.3,517108,68.9,234325,257505,25134,144,1079296,143798,520512
Louisiana,3638020,78257,102158,2708187,58256,2691142,75569,1497817,32.2,1486697,41.7,1237218,26.6,1231449,34.6,1840020,1575400,222600,0,91404,1258521,1357289,973,538300,610745,87687,486,538202,605147,87615,485,1149531,32.2,1486697,41.7,24.7,1143834,32.1,1497817,551328,74.4,505865,68.3,239170,250695,15903,97,1064059,143593,490946
Massachusetts,7186080,104259,129720,6087168,88316,6013108,108546,3814116,55.3,3753530,67.8,2461918,35.7,2447716,44.2,3764280,3037400,384400,0,211620,2620246,3255210,92,1016584,1233109,212208,17,1015904,1220185,211610,17,2249710,55.3,3753530,67.8,32.6,2236106,40.4,3814116,1064292,91,899905,77,412997,433670,53228,10,1910306,163367,614546
Maryland,5918070,97889,125623,4733768,78300,4676770,99274,2903198,48,2856679,60.6,2023126,33.5,2013414,42.7,3160170,2441700,316200,0,187406,2027739,2515576,3047,825490,1015296,181456,884,825388,1005781,181363,882,1841670,48,2856679,60.6,30.5,1832051,38.9,2903198,807484,84.2,707368,73.7,348106,319997,38889,376,1462468,152436,616854
Maine,1362340,101349,124373,1165567,86710,1156945,105621,727268,54.1,719062,65.6,517435,38.5,516985,47.2,677040,601100,84200,0,70538,517869,577028,132,210686,236231,70482,36,210659,235840,70455,31,446953,54.1,719062,65.6,33.3,446530,40.8,727268,257588,90.3,236411,82.9,107588,111388,17422,13,474240,166245,477570
Marshall Islands,51300,87823,112594,26519,45399,26469,58094,14544,24.9,14505,31.8,11979,20.5,11966,26.3,0,40500,10800,0,35,26484,0,0,11936,4,39,0,11923,4,39,0,11940,24.9,14505,31.8,20.4,11927,26.2,14544,915,9.2,766,7.7,763,0,3,0,1678,16898,516616
Michigan,9338570,93509,119070,7023900,70331,6949485,88608,4218933,42.2,4157706,53,3118484,31.2,3104012,39.6,4813770,3996600,528200,0,229440,3066649,3726558,1253,1323101,1561167,233706,510,1322891,1547025,233588,508,2884778,42.2,4157706,53,28.9,2870424,36.6,4218933,1395708,79.1,1246178,70.6,630773,569878,45178,349,2569338,145538,528977
