COVID-19 Vaccinations in the United States
Date generated: Fri Feb 12 2021 11:38:53 GMT-0600 (CST)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,270250,162273,36942,22182,116001,15857,46006,6289
Alabama,911875,543237,18598,11079,431259,8795,111036,2265
Arkansas,593775,430803,19676,14275,316972,10503,110751,3670
American Samoa,29450,13513,52883,24265,9822,17637,3685,6617
Arizona,1391475,941575,19117,12936,747599,10271,192542,2645
Bureau of Prisons,42475,44177,N/A,N/A,28139,0,15931,0
California,7822300,5134864,19797,12996,4108216,10397,990128,2506
Colorado,1162775,815108,20191,14154,570979,9915,239804,4164
Connecticut,812325,600249,22784,16836,437058,12259,154639,4337
District of Columbia,193600,111720,27432,15830,79776,11304,31786,4504
Dept of Defense,1037725,679431,N/A,N/A,525007,0,144383,0
Delaware,182225,133370,18713,13696,105760,10861,26864,2759
Florida,4318675,2957730,20108,13771,2118750,9865,823514,3834
Federated States of Micronesia,30000,8365,28946,8071,7991,7710,346,334
Georgia,2017525,1273015,19002,11990,967179,9109,279546,2633
Guam,51300,33993,30947,20506,26019,15696,7711,4652
Hawaii,308300,200618,21775,14169,150648,10640,49969,3529
Iowa,579200,387370,18358,12278,282596,8957,99986,3169
Idaho,319825,214063,17897,11978,159796,8942,43231,2419
Indian Health Svc,679350,325336,N/A,N/A,236970,0,83614,0
Illinois,2455500,1604830,19378,12665,1243706,9815,330108,2605
Indiana,1351325,832031,20073,12359,637068,9463,194281,2886
Kansas,564000,332923,19359,11428,248979,8546,81948,2813
Kentucky,882200,608198,19746,13613,454145,10165,151297,3386
Louisiana,894850,639019,19249,13746,448139,9640,189574,4078
Massachusetts,1445425,924612,20971,13415,715308,10378,207392,3009
Maryland,1188600,745478,19660,12331,563324,9318,181380,3000
Maine,299375,193246,22271,14376,141778,10547,49721,3699
Marshall Islands,21000,5433,35951,9301,4868,8334,527,902
Michigan,1895500,1412047,18980,14139,997466,9988,398177,3987
Minnesota,1121000,754262,19877,13374,575084,10197,176482,3129
Missouri,1058775,694992,17251,11324,524638,8548,163157,2658
Northern Mariana Islands,29650,12728,52125,22376,8344,14669,4376,7693
Mississippi,601625,365400,20215,12278,286055,9612,78802,2648
Montana,192125,149339,17976,13973,109266,10223,39710,3715
North Carolina,1938075,1382652,18479,13183,1050246,10014,330758,3154
North Dakota,155375,133616,20389,17533,90939,11933,40721,5344
Nebraska,405600,247879,20968,12814,172690,8927,73704,3810
New Hampshire,298075,184103,21922,13540,130806,9620,53145,3909
New Jersey,1770250,1196677,19930,13473,911345,10260,280021,3153
New Mexico,428675,369864,20444,17639,264105,12595,101665,4849
Nevada,533800,379077,17330,12307,299502,9724,77555,2518
New York State,3843300,2620734,19756,13472,1869595,9611,668178,3435
Ohio,2293650,1459174,19622,12483,1107677,9476,349390,2989
Oklahoma,815475,628361,20609,15880,452166,11427,172509,4360
Oregon,840475,589035,19927,13966,434561,10303,152361,3612
Pennsylvania,2540475,1594474,19844,12455,1215755,9497,373882,2920
Puerto Rico,706500,336959,22122,10551,248934,7795,86660,2713
Rhode Island,211650,127931,19979,12076,89723,8470,38158,3602
Republic of Palau,9200,3831,51377,21394,3109,17362,722,4032
South Carolina,779500,628496,15140,12207,487418,9467,133648,2596
South Dakota,181725,141733,20542,16021,97817,11057,43827,4954
Tennessee,1295675,866352,18973,12686,595081,8714,267820,3922
Texas,5091325,3708460,17559,12790,2745305,9468,960517,3313
Utah,579600,510267,18079,15916,307059,9578,105704,3297
Virginia,1589875,1223199,18627,14331,945182,11074,247784,2903
Veterans Health,2042525,1377358,N/A,N/A,1020271,0,355921,0
Virgin Islands,25450,11168,24312,10669,8039,7680,3129,2989
Vermont,137925,96908,22104,15530,67024,10741,29713,4762
Washington,1429050,1040044,18767,13658,797359,10471,229588,3015
Wisconsin,1080700,826275,18561,14191,640058,10993,176673,3034
West Virginia,387400,340780,21617,19015,226323,12629,114445,6386
Wyoming,118875,79515,20540,13739,61170,10569,18180,3141
