COVID-19 Vaccinations in the United States
Date generated: Wed Feb 24 2021 14:19:17 GMT-0600 (CST)

State/Territory/Federal Entity,Total Doses Administered,Doses Administered per 100k,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered
Alaska,239927,32797,238872,43308
Alabama,815108,16624,814893,21361
Arkansas,540192,17900,540003,23300
American Samoa,18816,33788,18600,42821
Arizona,1525794,20962,1524293,27034
Bureau of Prisons,52743,N/A,52740,N/A
California,7728120,19559,7724412,25229
Colorado,1233466,21419,1233054,27406
Connecticut,892882,25044,891856,31427
District of Columbia,166724,23624,166713,28864
Dept of Defense,868322,N/A,868122,N/A
Delaware,186619,19165,186554,24222
Florida,4406005,20514,4402633,25526
Federated States of Micronesia,12196,11767,12192,15081
Georgia,1880429,17711,1879925,23170
Guam,50500,30464,50484,39044
Hawaii,333599,23561,333420,29876
Iowa,614928,19490,614420,25303
Idaho,340444,19050,340442,25428
Indian Health Svc,455371,21863,453973,N/A
Illinois,2416034,19066,2414459,24502
Indiana,1298877,19293,1298610,25146
Kansas,517379,17759,516932,23358
Kentucky,851440,19058,851174,24566
Louisiana,907334,19518,907207,25475
Massachusetts,1500077,21764,1499183,27063
Maryland,1132483,18732,1132128,24032
Maine,299427,22275,299280,27322
Marshall Islands,9462,16198,9454,20750
Michigan,1985511,19881,1985083,25310
Minnesota,1170259,20751,1169612,26971
Missouri,1110913,18101,1110515,23297
Northern Mariana Islands,16382,28800,16377,36912
Mississippi,505655,16990,505563,22198
Montana,243015,22738,242793,28897
North Carolina,2118218,20196,2116687,25853
North Dakota,196576,25795,196375,33748
Nebraska,392756,20304,392354,26904
New Hampshire,274267,20171,273751,24786
New Jersey,1759059,19804,1757421,25310
New Mexico,612496,29211,611267,37709
Nevada,598423,19428,598244,25057
New York State,3772702,19393,3771365,24449
Ohio,2228732,19067,2227738,24451
Oklahoma,906583,22911,906205,30159
Oregon,864960,20508,863824,25777
Pennsylvania,2381079,18599,2379510,23403
Puerto Rico,480439,15043,480285,18325
Rhode Island,211660,19980,211555,24747
Republic of Palau,7073,39499,7073,50641
South Carolina,941136,18279,940243,23288
South Dakota,237230,26816,236946,35494
Tennessee,1139836,16691,1139665,21426
Texas,4800286,16555,4784638,22155
Utah,611048,19060,610529,26839
Virginia,1765927,20689,1764750,26440
Veterans Health,2002806,N/A,2002790,N/A
Virgin Islands,16893,16138,16881,20675
Vermont,144085,23091,143978,28232
Washington,1493572,19614,1492797,25081
Wisconsin,1259647,21634,1259141,27638
West Virginia,470643,26261,470207,32822
Wyoming,136163,23527,136122,30587
