COVID-19 Vaccinations in the United States
Date generated: Thu Mar 18 2021 17:20:14 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Alaska,509025,69582,92288,351093,47993,347277,62962,213432,29.2,210933,38.2,138464,18.9,137146,24.9,252525,245300,11200,0,1553,161137,188347,56,60821,76098,1538,7,60767,74838,1534,7,136926,29.2,210933,38.2,18.7,135612,24.6,213432,63924,69.8,52562,57.4,30935,21439,185,3
Alabama,2118650,43210,55536,1390066,28350,1389216,36416,912663,18.6,911960,23.9,533375,10.9,533212,14,965250,1092900,60500,0,23669,714600,651797,0,259169,249866,24319,21,259151,249723,24317,21,509056,18.6,911960,23.9,10.4,508895,13.3,912663,475774,56,297299,35,157866,129420,10002,11
Arkansas,1359410,45046,58655,929862,30813,928862,40078,615670,20.4,614775,26.5,324554,10.8,324410,14,635310,690000,34100,0,10916,469452,449306,188,158622,154908,10985,39,158603,154792,10976,39,313569,20.4,614775,26.5,10.4,313434,13.5,615670,308488,58.9,157553,30.1,92455,62080,2987,31
American Samoa,43210,77592,99477,24300,43635,23637,54417,15381,27.6,14923,34.4,9025,16.2,8821,20.3,30810,12400,0,0,0,5332,18968,0,2127,6895,3,0,2126,6692,3,0,9022,27.6,14923,34.4,16.2,8818,20.3,15381,2023,21.4,1415,14.9,569,845,1,0
Arizona,3325025,45681,58970,2755436,37856,2746409,48708,1716937,23.6,1711550,30.4,978991,13.5,976670,17.3,1590225,1651800,83000,0,22805,1270316,1461415,900,427729,529440,21497,325,427672,527203,21470,325,957494,23.6,1711550,30.4,13.2,955200,16.9,1716937,848979,64.9,506650,38.7,231186,268793,6449,222
Bureau of Prisons,85240,N/A,N/A,84200,N/A,84200,N/A,51305,N/A,51305,N/A,32726,N/A,32726,N/A,49140,35500,600,0,341,32861,50998,0,11915,20471,340,0,11915,20471,340,0,32386,N/A,51305,N/A,0,32386,0,51305,2309,0,1495,0,587,906,2,0
California,18024930,45619,58871,13563094,34326,13535441,44208,9097819,23,9074577,29.6,4517256,11.4,4512736,14.7,8723130,8796000,505800,0,146234,6577888,6838403,569,2136420,2235914,144848,74,2135722,2232354,144586,74,4372408,23,9074577,29.6,11.1,4368150,14.3,9097819,4164249,71.3,2357854,40.4,1198996,1135453,23351,54
Colorado,2644500,45922,58777,2029213,35237,2026169,45034,1285898,22.3,1283493,28.5,765933,13.3,765242,17,1259700,1319700,65100,0,39585,996439,992672,517,356559,370717,38534,123,356493,370143,38483,123,727399,22.3,1283493,28.5,12.6,726759,16.2,1285898,608439,72.2,400988,47.6,199745,195775,5394,74
Connecticut,1820525,51063,64152,1514945,42492,1512788,53308,993878,27.9,992496,35,543501,15.2,542843,19.1,919425,852700,48400,0,36166,676203,802455,121,221324,286168,35993,16,221171,285688,35968,16,507508,27.9,992496,35,14.2,506875,17.9,993878,491876,78,296400,47,100522,191913,3955,10
District of Columbia,428215,60675,74139,285546,40460,285226,49383,136208,19.3,135912,23.5,69819,9.9,69803,12.1,221715,195700,10800,0,3861,117057,164628,0,32460,32843,4505,11,32459,32828,4505,11,65314,19.3,135912,23.5,9.3,65298,11.3,136208,53213,60.9,32009,36.6,18775,13067,161,6
