COVID-19 Vaccinations in the United States
Date generated: Wed Mar 24 2021 16:00:15 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,540815,73928,98052,379296,51849,374448,67889,233037,31.9,229697,41.6,148725,20.3,147212,26.7,272415,255100,13300,0,3301,173815,202124,56,65755,79696,3265,9,65689,78260,3254,9,145460,31.9,229697,41.6,19.9,143958,26.1,233037,65141,71.1,53792,58.7,31661,21754,374,3,117128,127886,590487
Alabama,2403720,49024,63009,1542416,31457,1541235,40401,1019858,20.8,1018841,26.7,589979,12,589783,15.5,1118520,1215900,69300,0,30320,785426,726670,0,284337,274453,31164,25,284311,274286,31161,25,558815,20.8,1018841,26.7,11.4,558622,14.6,1019858,508039,59.8,324973,38.2,172283,140331,12343,16,804721,94691,282845
Arkansas,1537720,50955,66348,1032499,34214,1030840,44478,694124,23,692558,29.9,357343,11.8,357173,15.4,744120,751100,42500,0,19303,510655,502321,220,167874,170467,18953,49,167853,170340,18931,49,338390,23,692558,29.9,11.2,338242,14.6,694124,321537,61.4,176699,33.7,98839,74040,3782,38,492942,94094,293524
American Samoa,43210,77592,99477,27837,49987,27021,62207,17371,31.2,16845,38.8,10552,18.9,10265,23.6,30810,12400,0,0,0,6041,21796,0,2224,8325,3,0,2223,8039,3,0,10549,31.2,16845,38.8,18.9,10262,23.6,17371,2182,23,1509,15.9,589,919,1,0,3635,38397,456428
Arizona,3734465,51307,66232,3010048,41354,2999630,53199,1877865,25.8,1871790,33.2,1074666,14.8,1071762,19,1826565,1806300,101600,0,30669,1383797,1594503,1079,469679,575303,29306,378,469613,572501,29270,378,1045360,25.8,1871790,33.2,14.4,1042492,18.5,1877865,889328,68,563095,43,255694,298470,8671,260,1498259,114490,285371
Bureau of Prisons,97960,N/A,N/A,90341,N/A,90341,N/A,55109,N/A,55109,N/A,35059,N/A,35059,N/A,56160,40100,1700,0,341,35618,54382,0,12999,21720,340,0,12999,21720,340,0,34719,N/A,55109,N/A,0,34719,0,55109,2427,0,1607,0,678,927,2,0,4058,0,0
California,20489560,51856,66921,15691888,39714,15648912,51111,10522002,26.6,10485080,34.2,5337045,13.5,5330627,17.4,10137660,9767600,584300,0,269463,7498517,7922860,1048,2405787,2663702,267386,170,2404990,2658601,266866,170,5069659,26.6,10485080,34.2,12.8,5063761,16.5,10522002,4364084,74.8,2722542,46.6,1371104,1312638,38687,113,7099837,121612,350962
Colorado,2894980,50271,64344,2344091,40705,2339040,51988,1475619,25.6,1471393,32.7,900059,15.6,899162,20,1381380,1440100,73500,0,50229,1129719,1163569,574,400117,450586,49221,135,400042,449833,49152,135,850838,25.6,1471393,32.7,14.8,850010,18.9,1475619,635997,75.5,473660,56.2,225437,240544,7599,80,1110819,131862,343654
Connecticut,2070805,58082,72971,1701298,47718,1698899,59866,1108552,31.1,1106973,39,618348,17.3,617636,21.8,1076205,939900,54700,0,39331,758458,903383,126,253116,325935,39280,17,252958,325411,39250,17,579068,31.1,1106973,39,16.2,578386,20.4,1108552,510992,81.1,354521,56.3,127124,222857,4530,10,872279,138403,328572
District of Columbia,462615,65550,80095,313341,44398,312829,54162,154836,21.9,154340,26.7,76207,10.8,76187,13.2,245115,204500,13000,0,3866,127175,182300,0,35226,36272,4695,14,35225,36253,4695,14,71512,21.9,154340,26.7,10.1,71492,12.4,154836,55970,64.1,35133,40.2,20481,14469,177,6,114465,131052,529653
