COVID-19 Vaccinations in the United States
Date generated: Thu Mar 25 2021 14:47:29 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,549315,75090,99593,384503,52560,379400,68786,236062,32.3,232508,42.2,150980,20.6,149425,27.1,272415,261300,15600,0,3411,175873,205163,56,66641,80950,3380,9,66573,79475,3368,9,147600,32.3,232508,42.2,20.2,146057,26.5,236062,65324,71.3,53996,59,31768,21831,394,3,117473,128262,599767
Alabama,2459980,50171,64484,1579091,32205,1577753,41358,1048838,21.4,1047667,27.5,600666,12.3,600461,15.7,1139580,1250600,69800,0,32509,798555,748027,0,287076,280174,33390,26,287050,279998,33387,26,567276,21.4,1047667,27.5,11.6,567074,14.9,1048838,514726,60.6,329607,38.8,173792,142803,12996,16,815166,95920,289465
Arkansas,1576060,52225,68003,1056307,35003,1054525,45500,710494,23.5,708804,30.6,366664,12.2,366488,15.8,746460,787100,42500,0,21003,521978,513103,223,171874,174124,20619,47,171853,173991,20597,47,346045,23.5,708804,30.6,11.5,345891,14.9,710494,324385,61.9,181965,34.7,101437,76556,3936,36,500857,95605,300843
American Samoa,43810,78669,100859,27864,50035,27046,62265,17385,31.2,16858,38.8,10566,19,10278,23.7,30810,12400,600,0,0,6049,21815,0,2228,8335,3,0,2227,8048,3,0,10563,31.2,16858,38.8,19,10275,23.7,17385,2183,23.1,1511,16,590,920,1,0,3636,38407,462765
Arizona,3797605,52174,67352,3106598,42681,3095696,54903,1940953,26.7,1934583,34.3,1108397,15.2,1105348,19.6,1840605,1852800,104200,0,34256,1427420,1643687,1235,484046,591144,32785,422,483976,588204,32746,422,1075612,26.7,1934583,34.3,14.8,1072602,19,1940953,905846,69.2,583708,44.6,265251,308606,9556,295,1536550,117416,290196
Bureau of Prisons,97960,N/A,N/A,95200,N/A,95200,N/A,57195,N/A,57195,N/A,37840,N/A,37840,N/A,56160,40100,1700,0,356,36834,58010,0,13641,23844,355,0,13641,23844,355,0,37485,N/A,57195,N/A,0,37485,0,57195,2480,0,1696,0,707,987,2,0,4200,0,0
California,20941290,53000,68396,16062266,40651,16016524,52312,10757446,27.2,10718119,35,5481297,13.9,5474490,17.9,10276890,10075100,589300,0,279788,7657240,8124091,1147,2451735,2751695,277685,182,2450910,2746255,277143,182,5203612,27.2,10718119,35,13.2,5197347,17,10757446,4399256,75.4,2787596,47.7,1399894,1347540,40042,120,7199280,123315,358700
Colorado,3006760,52212,66829,2388899,41483,2383292,52971,1510575,26.2,1505829,33.5,912807,15.9,911858,20.3,1456260,1476000,74500,0,53133,1152753,1182407,606,404347,456095,52222,143,404266,455310,52139,143,860585,26.2,1505829,33.5,14.9,859719,19.1,1510575,638394,75.8,478669,56.8,227534,243306,7743,86,1118078,132723,356923
Connecticut,2097155,58821,73900,1737160,48724,1734677,61127,1131532,31.7,1129873,39.8,632200,17.7,631478,22.3,1082055,959000,56100,0,40360,772806,923866,128,258079,333789,40315,17,257920,333256,40285,17,591885,31.7,1129873,39.8,16.6,591193,20.8,1131532,513337,81.5,363142,57.6,130852,227575,4705,10,883308,140153,332753
District of Columbia,466685,66126,80800,320173,45366,319618,55337,159355,22.6,158810,27.5,79733,11.3,79712,13.8,246285,207400,13000,0,5471,128933,185769,0,35918,37659,6142,14,35917,37640,6141,14,73591,22.6,158810,27.5,10.4,73571,12.7,159355,56384,64.6,35921,41.1,20903,14775,237,6,115696,132462,534313
