COVID-19 Vaccinations in the United States
Date generated: Wed Mar 31 2021 22:25:14 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,601225,82186,109004,407233,55668,401338,72764,248711,34,244550,44.3,163100,22.3,161342,29.3,311025,272700,17500,0,5645,185830,215702,56,71040,86540,5511,9,70962,84888,5483,9,157589,34,244550,44.3,21.5,155859,28.3,248711,66261,72.3,55033,60.1,32199,22218,613,3,119089,130027,656445
Alabama,2796630,57037,73308,1728736,35257,1726745,45263,1155139,23.6,1153345,30.2,656899,13.4,656639,17.2,1356030,1336800,103800,0,40301,858175,830260,0,307276,308272,41322,29,307247,308050,41313,29,615577,23.6,1153345,30.2,12.6,615326,16.1,1155139,537099,63.2,355544,41.8,185101,155163,15260,20,859915,101186,329078
Arkansas,1763540,58438,76092,1183295,39210,1180577,50939,788277,26.1,785688,33.9,419462,13.9,419220,18.1,868140,835100,60300,0,26392,578261,578382,260,197685,196091,25633,53,197657,195919,25591,53,393829,26.1,785688,33.9,13.1,393629,17,788277,339230,64.8,216533,41.3,121219,90704,4569,41,550094,105003,336629
American Samoa,43810,78669,100859,31167,55966,30221,69574,17856,32.1,17307,39.8,13406,24.1,13012,30,30810,12400,600,0,0,6649,24518,0,2775,10627,4,0,2774,10234,4,0,13402,32.1,17307,39.8,24.1,13008,29.9,17856,2222,23.5,1875,19.8,712,1162,1,0,4036,42632,462765
Arizona,4304045,59132,76333,3451567,47420,3432982,60885,2157694,29.6,2144577,38,1242599,17.1,1238803,22,2135445,2015000,153600,0,47798,1562755,1839524,1490,534411,661521,46158,509,534334,657849,46111,509,1196441,29.6,2144577,38,16.4,1192692,21.2,2157694,937095,71.6,640122,48.9,292612,334774,12388,348,1625254,124195,328896
Bureau of Prisons,108010,N/A,N/A,102091,N/A,102091,N/A,61091,N/A,61091,N/A,40792,N/A,40792,N/A,62010,44300,1700,0,376,40261,61454,0,15347,25070,375,0,15347,25070,375,0,40417,N/A,61091,N/A,0,40417,0,61091,2595,0,1827,0,790,1035,2,0,4448,0,0
California,23660110,59880,77276,18223412,46121,18152268,59287,12120118,30.7,12059336,39.4,6348325,16.1,6337376,20.7,11921910,10851200,887000,0,355818,8562134,9303927,1533,2762812,3231877,353387,249,2761841,3222669,352618,248,5994938,30.7,12059336,39.4,15.2,5984758,19.5,12120118,4549976,77.9,3064135,52.5,1562919,1451870,49187,159,7621009,130539,405270
Colorado,3330360,57831,74021,2691248,46733,2682629,59624,1720668,29.9,1713193,38.1,1008589,17.5,1007349,22.4,1620060,1600200,110100,0,59863,1296822,1333879,684,449923,499651,58861,154,449824,498608,58763,154,949728,29.9,1713193,38.1,16.5,948586,21.1,1720668,652844,77.5,523252,62.1,252618,262292,8250,92,1177624,139792,395336
Connecticut,2426455,68058,85503,1954259,54814,1951388,68763,1262503,35.4,1260505,44.4,725544,20.4,724761,25.5,1280955,1058300,87200,0,47972,853195,1052954,138,291492,386152,47880,20,291323,385571,47847,20,677664,35.4,1260505,44.4,19,676914,23.9,1262503,526359,83.5,411692,65.3,155938,249989,5752,13,944314,149833,385002
District of Columbia,514945,72964,89155,374297,53035,373719,64704,193796,27.5,193200,33.4,97469,13.8,97445,16.9,279045,218200,17700,0,7914,146656,219727,0,41219,47684,8550,16,41218,47662,8549,16,88919,27.5,193200,33.4,12.6,88896,15.4,193796,60511,69.3,41083,47,23181,17164,731,7,128265,146852,589566
Dept of Defense,2580720,N/A,N/A,1926592,N/A,1920556,N/A,1213941,N/A,1208843,N/A,679958,N/A,679209,N/A,1372020,1126800,81900,0,22195,885999,1017999,399,293049,367629,19280,0,293015,366923,19271,0,660678,N/A,1208843,N/A,0,659938,0,1213941,135272,0,85816,0,27979,56794,1043,0,225789,0,0
Delaware,592965,60894,76989,463476,47596,462322,60027,302043,31,301139,39.1,159773,16.4,159679,20.7,305565,267400,20000,0,10187,194555,258667,67,66139,83133,10480,21,66126,83054,10478,21,149293,31,301139,39.1,15.3,149201,19.4,302043,149445,79.1,97760,51.8,43113,49691,4942,14,248718,131662,313894
Florida,13153105,61241,76260,9563326,44527,9550267,55371,6005354,28,5993944,34.8,3384591,15.8,3382986,19.6,6758505,5886400,508200,0,235356,4518766,4796062,13142,1489412,1657337,233503,4339,1488826,1656429,233392,4339,3151088,28,5993944,34.8,14.7,3149594,18.3,6005354,3409468,75.8,2374979,52.8,1128195,1166388,76681,3715,6068575,134937,292464
Federated States of Micronesia,63000,60786,77930,24992,24114,24979,30899,15398,14.9,15385,19,9655,9.3,9655,11.9,0,61600,1400,0,0,24992,0,0,9635,19,1,0,9635,19,1,0,9654,14.9,15385,19,9.3,9654,11.9,15398,1433,8.1,1032,5.9,1028,4,0,0,2436,13826,357569
Georgia,5777435,54415,71207,3855859,36316,3844547,47384,2515040,23.7,2504384,30.9,1301323,12.3,1300596,16,2876835,2716500,184100,0,70348,1953161,1832089,261,663338,569864,67952,169,663262,569332,67833,169,1233371,23.7,2504384,30.9,11.6,1232763,15.2,2515040,1040640,68.6,752338,49.6,433271,310163,8799,105,1851391,122047,380858
Guam,87860,53002,67951,87540,52809,86798,67130,54839,33.1,54119,41.9,32133,19.4,32113,24.8,48360,38200,1300,0,225,39433,47882,0,16094,15815,224,0,16092,15797,224,0,31909,33.1,54119,41.9,19.2,31889,24.7,54839,12447,44.2,10075,35.8,4431,5605,39,0,22661,80412,311770
Hawaii,962590,67986,86253,705568,49833,703762,63061,450539,31.8,448436,40.2,268481,19,268145,24,519090,415000,28500,0,9505,254581,347722,93760,99107,141687,9648,18039,99057,141436,9630,18022,258833,31.8,448436,40.2,18.3,258515,23.2,450539,167654,62.5,102437,38.2,46934,51253,2841,1409,265509,98905,358576
Iowa,1816015,57559,74788,1539664,48800,1536063,63259,970567,30.8,967834,39.9,610099,19.3,609157,25.1,873015,877500,65500,0,40500,791864,707181,119,306993,262496,40584,26,306981,261577,40573,26,569515,30.8,967834,39.9,18.1,568584,23.4,970567,437141,79.1,329350,59.6,169620,156412,3299,19,763470,138071,328421
Idaho,948735,53089,70861,752364,42101,752334,56192,460710,25.8,460672,34.4,294187,16.5,294170,22,458835,455900,34000,0,15326,361741,375041,256,138784,140228,15122,53,138782,140219,15116,53,279065,25.8,460672,34.4,15.6,279054,20.8,460710,206597,71.1,161893,55.7,73557,83976,4330,30,366724,126165,326396
Indian Health Svc,1510615,72528,N/A,964050,46286,948525,N/A,602532,28.9,591625,N/A,362684,17.4,358115,N/A,623415,843400,43800,0,8287,541415,414348,0,191883,162637,8164,0,191790,158173,8152,0,354520,28.9,591625,N/A,17,349963,0,602532,134798,0,97665,0,55021,41730,914,0,234477,0,0
Illinois,7493325,59134,76044,5932882,46819,5914522,60022,3930026,31,3915236,39.7,2089452,16.5,2085790,21.2,3743025,3485600,264700,0,123582,2765948,3040738,2614,937540,1030131,120925,856,937221,1027036,120678,855,1968527,31,3915236,39.7,15.5,1965112,19.9,3930026,1511600,74,930336,45.5,441951,462451,25372,562,2413311,118112,366739
Indiana,3532620,52473,68405,2787166,41400,2785421,53937,1701299,25.3,1699976,32.9,1123914,16.7,1123460,21.8,1758120,1633600,140900,0,56721,1252236,1474087,4122,490328,575098,57063,1425,490292,574690,57053,1425,1066851,25.3,1699976,32.9,15.8,1066407,20.6,1701299,786809,72.5,664268,61.2,345020,310416,7797,1035,1463237,134768,325364
Kansas,1787305,61350,80762,1290992,44314,1287607,58182,873196,30,870242,39.3,491016,16.9,490215,22.2,846105,882400,58800,0,23025,663527,604187,253,245076,222145,23685,110,245053,221377,23675,110,467331,30,870242,39.3,16,466540,21.1,873196,373086,78.5,247455,52,123970,118056,5356,73,592518,124613,375889
Kentucky,2572045,57570,74234,2100387,47013,2094099,60439,1386294,31,1381418,39.9,775208,17.4,774444,22.4,1296945,1186000,89100,0,46326,994082,1059822,157,348755,382201,44143,109,348735,381478,44122,109,731065,31,1381418,39.9,16.4,730322,21.1,1386294,541423,72.1,364818,48.6,156079,195303,13364,72,875813,116687,342682
Louisiana,2719670,58503,76370,1963625,42239,1959765,55032,1219539,26.2,1215953,34.1,758829,16.3,758587,21.3,1366170,1260300,93200,0,54389,876060,1032358,818,290568,415068,52826,367,290544,414882,52795,366,706003,26.2,1215953,34.1,15.2,705792,19.8,1219539,516789,69.7,420113,56.7,183386,225184,11467,76,944933,127518,367016
Massachusetts,4270280,61955,77085,3611067,52391,3600174,64989,2362261,34.3,2353998,42.5,1307031,19,1304526,23.5,2102880,2028400,139000,0,86677,1751464,1772862,64,602579,617631,86812,9,602430,615340,86747,9,1220219,34.3,2353998,42.5,17.7,1217779,22,2362261,959037,82,637552,54.5,276936,320950,39661,5,1557114,133163,365190
Maryland,3573500,59108,75854,2809466,46471,2802228,59483,1884069,31.2,1877998,39.9,1039090,17.2,1037959,22,1778400,1677400,117700,0,73750,1334983,1398992,1741,471335,494593,72676,486,471285,493533,72655,486,966414,31.2,1877998,39.9,16,965304,20.5,1884069,720786,75.1,463772,48.3,219393,217995,26153,231,1140155,118841,372474
Maine,826370,61476,75442,697663,51901,697073,63638,461705,34.3,461311,42.1,264659,19.7,264441,24.1,395070,400200,31100,0,22139,337288,338177,59,119411,122985,22244,19,119389,122794,22239,19,242415,34.3,461311,42.1,18,242202,22.1,461705,236552,82.9,160482,56.3,67237,82352,10886,7,383950,134594,289685
Marshall Islands,35800,61288,78574,20512,35115,20478,44945,12511,21.4,12480,27.4,7952,13.6,7947,17.4,0,35000,800,0,0,20512,0,0,7948,2,2,0,7943,2,2,0,7950,21.4,12480,27.4,13.6,7945,17.4,12511,833,8.4,563,5.7,561,0,2,0,1396,14058,360524
Michigan,5889820,58976,75097,4419793,44256,4412439,56260,2858070,28.6,2851462,36.4,1693046,17,1692090,21.6,2947620,2744000,198200,0,88886,2083628,2247279,0,723929,879163,89879,75,723847,878331,89837,75,1603167,28.6,2851462,36.4,16.1,1602253,20.4,2858070,1251031,70.9,926544,52.5,431800,470823,23860,61,2128178,120549,333625
Minnesota,3203000,56794,73862,2751928,48796,2745252,63306,1774794,31.5,1769024,40.8,1060778,18.8,1059780,24.4,1599000,1504900,99100,0,68141,1274752,1408838,197,452696,539146,68889,47,452650,538223,68860,47,991889,31.5,1769024,40.8,17.6,990920,22.9,1774794,753966,81.9,568705,61.8,226260,310901,31525,19,1274130,138435,348008
Missouri,3502935,57075,73485,2524827,41138,2521022,52887,1568169,25.6,1565290,32.8,924402,15.1,923695,19.4,1796535,1583400,123000,0,45781,1051310,1427417,319,357441,519733,47188,40,357400,519088,47168,39,877214,25.6,1565290,32.8,14.3,876527,18.4,1568169,706497,66.5,476120,44.8,210947,250983,14172,18,1205550,113513,329832
Northern Mariana Islands,61310,107785,138185,28566,50220,28444,64109,16550,29.1,16441,37.1,12035,21.2,12022,27.1,42510,17800,1000,0,34,3851,24681,0,1549,10451,35,0,1549,10438,35,0,12000,29.1,16441,37.1,21.1,11987,27,16550,2260,23.4,2077,21.5,301,1745,31,0,4308,44550,634023
Mississippi,1698485,57070,74575,1158505,38926,1156444,50775,734671,24.7,732824,32.2,450944,15.2,450736,19.8,792285,855700,50500,0,28204,585091,544480,730,215858,207558,27515,13,215834,207391,27498,13,423429,24.7,732824,32.2,14.2,423238,18.6,734671,318332,65.4,232669,47.8,121399,103232,8034,4,537866,110514,348985
Montana,677495,63390,80636,522897,48925,520885,61996,327448,30.6,325905,38.8,205138,19.2,204682,24.4,319995,334300,23200,0,9833,269696,243241,127,102121,93207,9774,36,102099,92778,9769,36,195364,30.6,325905,38.8,18.3,194913,23.2,327448,146232,70.8,108733,52.7,52936,52860,2917,20,250713,121448,328185
North Carolina,6053820,57721,73941,4691515,44732,4674106,57089,3026774,28.9,3011069,36.8,1724042,16.4,1722132,21,3127020,2719300,207500,0,122681,2013236,2555269,329,670211,933100,120705,26,670057,931592,120457,26,1603337,28.9,3011069,36.8,15.3,1601675,19.6,3026774,1253919,71.6,1001501,57.2,463195,521378,16908,20,2283789,130421,345716
North Dakota,464690,60978,79859,413386,54246,411728,70757,246500,32.3,245261,42.1,154549,20.3,154236,26.5,222690,226100,15900,0,9922,193094,210370,0,70324,75372,8853,0,70301,75096,8839,0,145696,32.3,245261,42.1,19.1,145397,25,246500,92156,76.9,75557,63,37163,36988,1406,0,174031,145213,387743
