COVID-19 Vaccinations in the United States
Date generated: Mon Apr 05 2021 19:47:34 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,636665,87030,115429,431436,58976,414090,75076,258376,35.3,249846,45.3,178886,24.5,168982,30.6,325065,284900,26700,0,7806,195843,227730,57,77159,94223,7494,10,74145,88432,6395,10,171392,35.3,249846,45.3,23.4,162587,29.5,258376,66742,72.9,55699,60.8,32556,22416,723,4,120071,131099,695140
Alabama,2892950,59001,75833,1864857,38034,1845515,48377,1248029,25.5,1231979,32.3,711596,14.5,705548,18.5,1398150,1372700,122100,0,46076,913461,905320,0,330083,334307,47168,38,328038,331167,46305,38,664428,25.5,1231979,32.3,13.6,659243,17.3,1248029,554157,65.2,377336,44.4,196163,164536,16610,27,896685,105513,340412
Arkansas,1908100,63228,82329,1316063,43610,1243092,53636,861082,28.5,819146,35.3,487363,16.1,452491,19.5,924300,910200,73600,0,35325,637706,642744,288,226717,226283,34299,64,212977,210152,29302,60,453064,28.5,819146,35.3,15,423189,18.3,861082,345740,66,232353,44.4,131191,96006,5109,47,571917,109169,364223
American Samoa,43810,78669,100859,31775,57058,30782,70866,18100,32.5,17528,40.4,13755,24.7,13348,30.7,30810,12400,600,0,0,6751,25024,0,2838,10913,4,0,2836,10508,4,0,13751,32.5,17528,40.4,24.7,13344,30.7,18100,2234,23.6,1895,20,715,1179,1,0,4067,42960,462765
Arizona,4538885,62358,80498,3772436,51828,3635023,64468,2338969,32.1,2261349,40.1,1392647,19.1,1331217,23.6,2289885,2066400,182600,0,66481,1684806,2019393,1756,590683,736970,64419,575,570960,701414,58286,557,1328228,32.1,2261349,40.1,18.2,1272931,22.6,2338969,951107,72.7,677205,51.7,314378,348042,14407,378,1677175,128162,346842
Bureau of Prisons,108010,N/A,N/A,112202,N/A,111765,N/A,65102,N/A,64746,N/A,46986,N/A,46852,N/A,62010,44300,1700,0,491,44913,66798,0,18124,28372,490,0,18079,28336,437,0,46496,N/A,64746,N/A,0,46415,0,65102,2686,0,2118,0,965,1148,5,0,4829,0,0
California,25338590,64128,82758,20309146,51400,19369074,63261,13529603,34.2,12859887,42,7166145,18.1,6811233,22.2,12792390,11341500,1204700,0,501064,9430914,10375324,1844,3073238,3594152,498420,335,2955668,3441418,413839,308,6667725,34.2,12859887,42,16.9,6397394,20.9,13529603,4634099,79.4,3190312,54.6,1642733,1491606,55772,201,7826911,134066,434020
Colorado,3527450,61254,78401,2979697,51742,2869421,63776,1908869,33.1,1829297,40.7,1118667,19.4,1081124,24,1756950,1635800,134700,0,70802,1430680,1477335,880,508224,540280,69919,244,488145,529210,63543,226,1048748,33.1,1829297,40.7,18.2,1017581,22.6,1908869,659409,78.3,544997,64.7,270076,266162,8655,104,1206086,143171,418732
Connecticut,2577515,72295,90826,2178710,61109,2089303,73623,1385278,38.9,1336749,47.1,839506,23.5,794362,28,1360515,1115600,101400,0,60082,947538,1170942,148,346364,433082,60038,22,326879,412036,55425,22,779468,38.9,1336749,47.1,21.9,738937,26,1385278,534518,84.8,432431,68.6,166154,259406,6858,13,972063,154236,408971
District of Columbia,542795,76910,93977,407352,57719,396809,68702,216518,30.7,207863,36,111858,15.8,106655,18.5,296595,224200,22000,0,9304,158563,239485,0,46063,55281,10498,16,43998,52774,9867,16,101360,30.7,207863,36,14.4,96788,16.8,216518,61504,70.4,42671,48.9,24051,17752,861,7,131101,150099,621452
