COVID-19 Vaccinations in the United States
Date generated: Tue Apr 27 2021 22:54:07 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,760525,103961,137886,541593,74034,530133,96115,301212,41.2,294240,53.3,249547,34.1,245019,44.4,381225,326700,52600,0,13793,243174,284549,77,109021,127629,12881,16,108791,123391,12821,16,236666,41.2,294240,53.3,32.4,232198,42.1,301212,70963,77.5,65632,71.7,37778,26389,1457,8,133443,145699,830376
Alabama,4009430,81772,105100,2499694,50981,2488405,65229,1558652,31.8,1549240,40.6,1079815,22,1077686,28.2,2022930,1742500,244000,0,72663,1188010,1239021,0,477671,527736,74356,52,477604,525707,74323,52,1005459,31.8,1549240,40.6,20.5,1003363,26.3,1558652,611521,72,481641,56.7,253058,205639,22910,34,1049333,123475,471788
Arkansas,2614560,86638,112811,1737538,57576,1721533,74279,1055239,35,1042499,45,732746,24.3,729124,31.5,1308060,1148600,157900,0,54580,816557,865969,432,332489,346904,53250,103,332324,343697,53002,101,679496,35,1042499,45,22.5,676122,29.2,1055239,381125,72.8,300845,57.4,173004,119152,8619,70,673113,128486,499074
American Samoa,47010,84415,108226,37808,67891,36575,84202,21284,38.2,20568,47.4,16650,29.9,16136,37.1,30810,15600,600,0,22,8595,29191,0,3784,12838,28,0,3774,12334,28,0,16622,38.2,20568,47.4,29.8,16108,37.1,21284,2435,25.7,2137,22.6,867,1264,6,0,4500,47534,496567
Arizona,6403785,87980,113573,4940974,67882,4879824,86545,2911060,40,2870042,50.9,2028087,27.9,2010258,35.7,3296085,2734900,372800,0,133500,2158528,2646178,2768,828180,1070029,128964,914,828035,1052429,128880,914,1899123,40,2870042,50.9,26.1,1881378,33.4,2911060,1027866,78.5,825949,63.1,402876,397939,24527,607,1903340,145445,489349
Bureau of Prisons,158190,N/A,N/A,142546,N/A,142545,N/A,83099,N/A,83098,N/A,60476,N/A,60476,N/A,90090,61500,6600,0,1739,56073,84734,0,23241,35508,1727,0,23241,35508,1727,0,58749,N/A,83098,N/A,0,58749,0,83099,2988,0,2528,0,1236,1262,30,0,5518,0,0
California,37589380,95134,122771,29372925,74339,28980198,94652,18786817,47.5,18465787,60.3,11476524,29,11402182,37.2,19609980,15720100,2259300,0,1080674,12986661,15302401,3189,4830872,5573210,1071751,691,4826021,5507393,1068078,690,10404773,47.5,18465787,60.3,26.3,10334104,33.8,18786817,5068228,86.8,3831395,65.6,1997362,1722250,111421,362,8861409,151785,643862
Colorado,5129330,89070,114005,4278837,74302,4222629,93853,2619556,45.5,2573571,57.2,1767903,30.7,1757158,39.1,2639130,2199900,290300,0,143566,1947085,2187065,1121,769686,856149,141750,318,769056,846579,141205,318,1626153,45.5,2573571,57.2,28.2,1615953,35.9,2619556,695241,82.5,603440,71.6,303817,286912,12573,138,1298253,154111,608886
Connecticut,3794605,106432,133714,3112117,87289,3072699,108276,1907736,53.5,1872106,66,1306500,36.6,1303277,45.9,2023905,1550900,219800,0,119908,1290430,1701532,247,523647,662770,120029,54,523389,659903,119931,54,1186471,53.5,1872106,66,33.3,1183346,41.7,1907736,564943,89.6,504189,80,197820,295114,11237,18,1070139,169798,602085
District of Columbia,784105,111103,135757,581013,82326,578933,100234,326687,46.3,324628,56.2,199548,28.3,198853,34.4,428805,310800,44500,0,20413,226523,334051,26,73032,102248,24238,30,73023,101578,24223,29,175310,46.3,324628,56.2,24.8,174630,30.2,326687,66842,76.5,51437,58.9,28347,21453,1628,9,145081,166105,897731
Dept of Defense,3575510,N/A,N/A,2797199,N/A,2778659,N/A,1735216,N/A,1720197,N/A,1046236,N/A,1043047,N/A,1906710,1499300,169500,0,64047,1248526,1484227,399,434912,550192,61132,0,434871,547062,61114,0,985104,N/A,1720197,N/A,0,981933,0,1735216,160374,0,108963,0,38064,68017,2882,0,275012,0,0
Delaware,930785,95586,120851,729085,74873,721898,93730,443905,45.6,438824,57,297377,30.5,296226,38.5,488085,392100,50600,0,33506,289022,406350,207,105565,158980,32742,90,105540,157878,32718,90,264635,45.6,438824,57,27.2,263508,34.2,443905,164688,87.2,136173,72.1,55237,74091,6787,58,302085,159913,492724
Florida,19934465,92815,115577,14698580,68436,14615651,84739,8755697,40.8,8681456,50.3,5946271,27.7,5938246,34.4,10371465,8219200,1343800,0,533180,6419808,7722960,22632,2449065,2962266,527567,7373,2448427,2955140,527306,7373,5418704,40.8,8681456,50.3,25.2,5410940,31.4,8755697,3754192,83.5,3072412,68.3,1539530,1400894,126108,5880,7107831,158045,443250
Federated States of Micronesia,63200,60979,78177,33156,31991,33138,40991,19983,19.3,19967,24.7,13299,12.8,13297,16.4,0,61600,1600,0,103,33053,0,0,13170,23,106,0,13168,23,106,0,13193,19.3,19967,24.7,12.7,13191,16.3,19983,1785,10.1,1335,7.6,1301,5,29,0,3069,17419,358704
Georgia,9007905,84841,111023,6060609,57082,6000230,73953,3639372,34.3,3592430,44.3,2421923,22.8,2408414,29.7,4691505,3818500,497900,0,140244,2751879,3168127,359,1092528,1191958,137211,226,1092353,1178832,137005,224,2284712,34.3,3592430,44.3,21.5,2271409,28,3639372,1146648,75.6,937170,61.8,530893,388388,17756,133,2147291,141553,593815
Guam,140740,84902,108848,124898,75345,122141,94464,74105,44.7,72094,55.8,51212,30.9,50468,39,76440,53200,11100,0,1210,48115,75573,0,19564,30433,1215,0,19561,29692,1215,0,49997,44.7,72094,55.8,30.2,49253,38.1,74105,13586,48.2,11523,40.9,4861,6563,99,0,25172,89323,499414
Hawaii,1416860,100070,126958,1180186,83354,1168320,104688,721016,50.9,710329,63.6,483260,34.1,481457,43.1,765960,580900,70000,0,20102,408906,657418,93760,166189,278462,20542,18067,166065,276872,20470,18050,462718,50.9,710329,63.6,32.7,460987,41.3,721016,226969,84.5,181421,67.6,73467,102103,4442,1409,402597,149972,527797
Iowa,2711175,85931,111652,2306511,73105,2287246,94194,1367822,43.4,1352142,55.7,1017291,32.2,1013799,41.8,1373775,1175000,162400,0,90105,1068146,1148138,122,462685,465695,88864,47,462633,462296,88823,47,928427,43.4,1352142,55.7,29.4,924976,38.1,1367822,468947,84.8,428158,77.4,230257,190552,7313,36,894150,161704,490308
Idaho,1399745,78326,104547,1051044,58814,1051004,78500,597725,33.4,597631,44.6,465169,26,465136,34.7,719745,596900,83100,0,30408,469720,550445,471,198939,235794,30295,141,198936,235774,30285,141,434874,33.4,597631,44.6,24.3,434851,32.5,597725,220727,75.9,200409,68.9,93778,99985,6584,62,419741,144405,481558
