COVID-19 Vaccinations in the United States
Date generated: Tue May 11 2021 12:19:24 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,777945,106343,141044,575174,78625,561541,101809,314070,42.9,306410,55.6,270922,37,264889,48,385905,337540,54500,0,16203,256441,302445,85,117026,138899,14974,23,116753,133210,14903,23,255948,42.9,306410,55.6,35,249986,45.3,314070,72042,78.7,67180,73.4,38410,27041,1715,14,135783,148254,849396
Alabama,4277330,87236,112122,2773615,56568,2756196,72249,1657672,33.8,1646050,43.1,1273670,26,1267521,33.2,2111850,1903780,261700,0,84254,1327212,1362149,0,570856,616657,86086,71,570727,610677,86046,71,1187584,33.8,1646050,43.1,24.2,1181475,31,1657672,630452,74.2,524524,61.7,277426,221063,25990,45,1107527,130322,503312
Arkansas,2677170,88713,115512,1905274,63134,1881941,81200,1109772,36.8,1094292,47.2,843372,27.9,835171,36,1327950,1186520,162700,0,57610,900770,946410,484,386085,400878,56296,113,385664,393369,56027,111,787076,36.8,1094292,47.2,26.1,779144,33.6,1109772,388625,74.2,317216,60.6,183136,124865,9137,78,698700,133370,511025
American Samoa,54030,97021,124387,39666,71228,38321,88222,22122,39.7,21349,49.1,17695,31.8,17126,39.4,37830,15600,600,0,22,9004,30640,0,3911,13755,29,0,3900,13197,29,0,17666,39.7,21349,49.1,31.7,17097,39.4,22122,2486,26.3,2200,23.2,879,1315,6,0,4599,48579,570719
Arizona,7081205,97286,125587,5411726,74350,5331298,94552,3096670,42.5,3048221,54.1,2322939,31.9,2293475,40.7,3628365,3048040,404800,0,154560,2375640,2878075,3451,955373,1217496,148928,1142,955189,1188314,148832,1140,2174011,42.5,3048221,54.1,29.9,2144643,38,3096670,1051764,80.4,864172,66,424183,410739,28523,727,1964564,150123,541115
Bureau of Prisons,169240,N/A,N/A,163752,N/A,163751,N/A,92403,N/A,92402,N/A,74088,N/A,74088,N/A,95940,65900,7400,0,3518,64091,96143,0,27258,43328,3502,0,27258,43328,3502,0,70586,N/A,92402,N/A,0,70586,0,92403,3123,0,2731,0,1302,1381,48,0,5841,0,0
California,42020680,106349,137244,33438134,84627,32832935,107236,20393934,51.6,19962813,65.2,14028824,35.5,13851424,45.2,22008480,17539300,2472900,0,1183364,14488680,17762183,3907,5760522,7093823,1173540,939,5752498,6928757,1169237,932,12855284,51.6,19962813,65.2,32.5,12682187,41.4,20393934,5175340,88.6,3999038,68.5,2077044,1798871,122683,440,9128440,156359,719765
Colorado,5861710,101788,130283,4923667,85499,4832470,107407,2821440,49,2762635,61.4,2204647,38.3,2171743,48.3,3069690,2482620,309400,0,162641,2182552,2577207,1267,932700,1111059,160525,363,931287,1080226,159872,358,2044122,49,2762635,61.4,35.5,2011871,44.7,2821440,708892,84.2,624742,74.2,313142,296982,14460,158,1341955,159299,695825
Connecticut,4077035,114354,143666,3544069,99405,3477123,122527,2053599,57.6,2007558,70.7,1604622,45,1584611,55.8,2174835,1667400,234800,0,134047,1430053,1979693,276,612673,857693,134194,62,612390,838074,134086,61,1470428,57.6,2007558,70.7,41.2,1450525,51.1,2053599,577166,91.6,523023,83,205016,304528,13459,20,1099238,174415,646898
District of Columbia,918975,130213,159108,665014,94228,661918,114602,363961,51.6,361110,62.5,248353,35.2,247295,42.8,504855,364620,49500,0,21686,259566,383709,53,90230,132402,25684,37,90214,131377,25669,35,222669,51.6,361110,62.5,31.6,221626,38.4,363961,69122,79.1,54093,61.9,29619,22720,1743,11,150358,172147,1052150
Dept of Defense,3975510,N/A,N/A,3164758,N/A,3138674,N/A,1904795,N/A,1886083,N/A,1266098,N/A,1259057,N/A,2129010,1671500,175000,0,87354,1392373,1684632,399,514771,666888,84439,0,514721,659922,84414,0,1181659,N/A,1886083,N/A,0,1174643,0,1904795,166987,0,117644,0,41309,72640,3695,0,289550,0,0
Delaware,1057915,108642,137357,831440,85384,820231,106497,480333,49.3,473322,61.5,362306,37.2,359392,46.7,550095,450320,57500,0,36281,335862,459039,258,133474,193036,35676,120,133426,190195,35651,120,326630,49.3,473322,61.5,33.5,323741,42,480333,168655,89.3,143914,76.2,58686,77880,7271,77,313432,165920,560022
Florida,22007995,102469,127599,16598829,77284,16459215,95428,9522200,44.3,9424353,54.6,7129654,33.2,7089024,41.1,11395215,9088880,1523900,0,623968,7133836,8813088,27937,2874272,3630466,615811,9105,2873565,3590844,615513,9102,6513843,44.3,9424353,54.6,30.3,6473511,37.5,9522200,3848902,85.6,3211422,71.4,1607804,1456726,139921,6971,7341240,163235,489356
Federated States of Micronesia,65800,63487,81393,37575,36254,37551,46450,22071,21.3,22051,27.3,16016,15.5,16012,19.8,0,62600,3200,0,520,37055,0,0,15467,29,520,0,15463,29,520,0,15496,21.3,22051,27.3,15,15492,19.2,22071,1934,11,1578,9,1477,5,96,0,3399,19292,373460
Georgia,9921025,93441,122277,6838037,64404,6755051,83256,3883754,36.6,3828778,47.2,2956409,27.8,2928257,36.1,5157165,4215660,548200,0,158258,3073164,3606115,500,1300949,1500184,154990,286,1300668,1472538,154769,282,2801419,36.6,3828778,47.2,26.4,2773488,34.2,3883754,1173024,77.3,989571,65.2,556913,412422,20083,153,2234974,147333,654010
Guam,173470,104646,134162,141105,85122,137386,106254,80701,48.7,78343,60.6,61282,37,59924,46.3,98670,63700,11100,0,1662,55878,83565,0,22267,37348,1667,0,22262,35995,1667,0,59615,48.7,78343,60.6,36,58257,45.1,80701,13998,49.7,12129,43,5116,6882,131,0,26152,92800,615557
Hawaii,1565860,110593,140310,1386111,97898,1368804,122652,832882,58.8,818128,73.3,577721,40.8,574551,51.5,861900,630460,73500,0,26152,503968,762231,93760,205676,327546,26428,18071,205483,324666,26348,18054,551293,58.8,818128,73.3,38.9,548203,49.1,832882,254726,94.9,209061,77.9,87184,113941,6527,1409,457595,170459,583301
Iowa,2973685,94251,122463,2581316,81815,2550379,105030,1444752,45.8,1424730,58.7,1217278,38.6,1206661,49.7,1520025,1280260,173400,0,99411,1162674,1319109,122,533972,585630,97618,58,533891,575144,97568,58,1119660,45.8,1424730,58.7,35.5,1109093,45.7,1444752,476218,86.1,445911,80.6,239978,197430,8461,42,918718,166147,537782
Idaho,1490225,83390,111305,1132419,63368,1132377,84577,626210,35,626078,46.8,519255,29.1,519202,38.8,764205,634620,91400,0,32848,503776,595229,566,221682,264675,32729,169,221673,264641,32719,169,486526,35,626078,46.8,27.2,486483,36.3,626210,224393,77.2,206308,71,96867,102313,7055,73,429416,147733,512686
Indian Health Svc,1689455,81114,N/A,1292488,62055,1261191,N/A,731823,35.1,712944,N/A,573366,27.5,560993,N/A,707655,908100,73700,0,20520,724770,547198,0,311237,241769,20360,0,311055,229609,20329,0,553006,35.1,712944,N/A,26.6,540664,0,731823,146362,0,118837,0,68461,48214,2162,0,266050,0,0
Illinois,12855545,101450,130461,10228284,80717,10066015,102152,6220006,49.1,6097086,61.9,4338243,34.2,4292442,43.6,6780345,5292500,782700,0,335578,4293821,5592906,5979,1706620,2293504,336092,2027,1704592,2251174,334658,2018,4002151,49.1,6097086,61.9,31.6,3957784,40.2,6220006,1747576,85.5,1378951,67.5,640890,685962,50897,1202,3081244,150802,629177
Indiana,5727410,85075,110905,4535101,67364,4484498,86837,2565461,38.1,2531270,49,2048655,30.4,2035905,39.4,3013530,2343780,370100,0,145278,1869984,2510323,9516,810329,1091696,143508,3122,810243,1079118,143424,3120,1905147,38.1,2531270,49,28.3,1892481,36.6,2565461,861022,79.3,800480,73.7,400391,380501,17639,1949,1671194,153922,527511
Kansas,2826985,97037,127741,2151543,73852,2127023,96112,1276977,43.8,1259450,56.9,1022189,35.1,1011905,45.7,1414725,1256560,155700,0,62277,982030,1106686,550,443538,515969,62508,174,443451,505810,62471,173,959681,43.8,1259450,56.9,32.9,949434,42.9,1276977,422568,88.9,354079,74.5,172309,170146,11526,98,746574,157012,594545
Kentucky,4092275,91597,118110,3326637,74460,3291409,94996,1900008,42.5,1877420,54.2,1546045,34.6,1533668,44.3,2077335,1774140,240800,0,115916,1494074,1716315,332,657081,775618,113064,282,656992,763391,113004,281,1432981,42.5,1877420,54.2,32.1,1420664,41,1900008,613391,81.7,537300,71.6,244398,265868,26860,174,1108813,147731,545227
Louisiana,3754030,80753,105416,2870888,61756,2849317,80011,1557991,33.5,1544833,43.4,1338783,28.8,1330557,37.4,1902030,1620100,231900,0,95561,1345171,1429151,1005,595576,651067,91635,505,595443,643049,91562,503,1247148,33.5,1544833,43.4,26.8,1238995,34.8,1557991,558795,75.4,519727,70.1,247526,255736,16361,104,1085494,146486,506602
Massachusetts,8068900,117068,145656,6931977,100573,6814175,123006,4173417,60.6,4084818,73.7,2962840,43,2932820,52.9,4293120,3364480,411300,0,231239,2911605,3789015,118,1166742,1563769,232303,26,1165402,1535805,231587,26,2730537,60.6,4084818,73.7,39.6,2701233,48.8,4173417,1085656,92.8,934996,80,426608,452115,56261,12,1963798,167942,690044
Maryland,6647830,109960,141113,5268016,87137,5183849,110037,3112874,51.5,3053346,64.8,2363446,39.1,2339664,49.7,3555630,2698700,393500,0,206315,2201670,2856441,3590,932033,1230545,199809,1059,931892,1207017,199700,1055,2163637,51.5,3053346,64.8,35.8,2139964,45.4,3112874,826308,86.1,736061,76.7,360139,333832,41672,418,1507973,157179,692918
