COVID-19 Vaccinations in the United States
Date generated: Mon Mar 08 2021 00:20:42 GMT-0600 (CST)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
Alaska,426715,58331,77365,295046,40332,293470,53207,180948,24.7,179957,32.6,113787,15.6,113205,20.5
Alabama,1628350,33210,42684,1110132,22641,1109830,29092,727681,14.8,727410,19.1,406723,8.3,406686,10.7
Arkansas,1088150,36058,46951,765260,25358,765017,33008,489149,16.2,488930,21.1,274376,9.1,274334,11.8
American Samoa,43210,77592,99477,21625,38832,21328,49101,13469,24.2,13259,30.5,8252,14.8,8165,18.8
Arizona,2623735,36047,46533,2162602,29711,2159301,38296,1388900,19.1,1386667,24.6,715023,9.8,714454,12.7
Bureau of Prisons,65335,N/A,N/A,72174,N/A,72171,N/A,44090,N/A,44088,N/A,27841,N/A,27840,N/A
California,13885120,35141,45350,10634752,26915,10628468,34714,7205989,18.2,7200964,23.5,3347266,8.5,3346080,10.9
Colorado,2019460,35068,44885,1626499,28244,1625877,36137,1046640,18.2,1046160,23.3,567922,9.9,567775,12.6
Connecticut,1434565,40237,50551,1195617,33535,1194385,42088,856048,24,855166,30.1,325922,9.1,325655,11.5
District of Columbia,337095,47764,58363,225875,32005,225845,39102,98505,14,98483,17.1,50399,7.1,50397,8.7
Dept of Defense,1711265,N/A,N/A,1130833,N/A,1130466,N/A,758512,N/A,758216,N/A,361473,N/A,361402,N/A
Delaware,361765,37151,46971,275467,28289,275385,35755,169956,17.5,169895,22.1,97981,10.1,97962,12.7
Florida,7771315,36183,45057,5900450,27472,5896705,34188,3714407,17.3,3711091,21.5,2045028,9.5,2044660,11.9
Federated States of Micronesia,41900,40427,51829,17745,17121,17741,21945,11360,11,11356,14,6425,6.2,6425,7.9
Georgia,3437635,32377,42369,2366573,22290,2365934,29160,1396280,13.2,1395795,17.2,894327,8.4,894164,11
Guam,87860,53002,67951,56484,34074,56467,43672,35130,21.2,35120,27.2,20851,12.6,20845,16.1
Hawaii,598100,42243,53593,436036,30796,435794,39050,272100,19.2,271920,24.4,166634,11.8,166569,14.9
Iowa,1106755,35079,45579,906470,28731,905766,37302,631178,20,630718,26,274405,8.7,274159,11.3
Idaho,594115,33245,44375,471043,26358,471037,35182,296541,16.6,296532,22.1,166775,9.3,166772,12.5
Indian Health Svc,1123090,53922,N/A,655254,31460,651602,N/A,434800,20.9,431914,N/A,214322,10.3,213590,N/A
Illinois,4378835,34556,44437,3473676,27413,3471201,35227,2346663,18.5,2344772,23.8,1109123,8.8,1108577,11.3
Indiana,2206230,32771,42721,1844669,27401,1844325,35713,1130035,16.8,1129790,21.9,696962,10.4,696861,13.5
Kansas,1091625,37470,49326,734335,25206,733781,33157,508326,17.4,507941,23,257534,8.8,257344,11.6
Kentucky,1555915,34826,44906,1254160,28072,1253677,36183,847662,19,847248,24.5,430613,9.6,430522,12.4
Louisiana,1640860,35296,46077,1180945,25403,1180718,33155,741681,16,741498,20.8,419762,9,419724,11.8
Massachusetts,2497130,36230,45077,2148356,31169,2146792,38753,1463301,21.2,1462133,26.4,663148,9.6,662764,12
Maryland,2116560,35009,44928,1645609,27220,1644968,34918,1089583,18,1089101,23.1,602926,10,602746,12.8
Maine,503580,37463,45974,399534,29723,399363,36459,268229,20,268111,24.5,135179,10.1,135118,12.3
Marshall Islands,35000,59918,76818,13742,23526,13733,30141,10430,17.9,10420,22.9,3261,5.6,3260,7.2
Michigan,3363430,33679,42885,2716893,27205,2716280,34634,1758766,17.6,1758340,22.4,980255,9.8,980064,12.5
Minnesota,1953700,34642,45053,1681447,29815,1680619,38755,1123285,19.9,1122703,25.9,564791,10,564529,13
Missouri,2032445,33116,42637,1600118,26071,1599472,33554,1007667,16.4,1007204,21.1,525890,8.6,525745,11
Northern Mariana Islands,44010,77371,99193,20396,35857,20391,45959,11937,21,11933,26.9,8446,14.8,8445,19
Mississippi,1067855,35880,46886,764699,25694,764526,33568,498585,16.8,498457,21.9,269236,9,269193,11.8
Montana,411145,38469,48935,337005,31532,336635,40067,217186,20.3,216909,25.8,120103,11.2,120013,14.3
North Carolina,3624905,34562,44274,2830672,26989,2828854,34551,1805008,17.2,1803799,22,987326,9.4,986715,12.1
North Dakota,299900,39354,51539,272721,35787,272442,46820,170418,22.4,170211,29.3,90596,11.9,90540,15.6
Nebraska,712720,36844,48872,556061,28746,555591,38098,356090,18.4,355767,24.4,194104,10,193954,13.3
