COVID-19 Vaccinations in the United States
Date generated: Fri Mar 12 2021 17:17:51 GMT-0600 (CST)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Alaska,470325,64292,85271,318526,43542,315372,57178,193951,26.5,191978,34.8,124170,17,122991,22.3,229125,232500,8700,0,28,146740,171702,56,55214,68911,38,7,55166,67780,38,7,124132,26.5,191978,34.8,17,122953,22.3,193951
Alabama,1838400,37494,48190,1249205,25477,1248527,32728,816418,16.7,815860,21.4,472325,9.6,472196,12.4,795600,988200,54600,0,12454,644531,592220,0,231792,227824,12693,16,231776,227711,12693,16,459632,16.7,815860,21.4,9.4,459503,12,816418
Arkansas,1222370,40505,52742,836608,27722,835877,36066,541936,18,541305,23.4,297193,9.8,297070,12.8,551070,638300,33000,0,3764,423121,409599,124,144316,149064,3792,21,144300,148957,3792,21,293401,18,541305,23.4,9.7,293278,12.7,541936
American Samoa,43210,77592,99477,23696,42551,23057,53081,15085,27.1,14635,33.7,8706,15.6,8518,19.6,30810,12400,0,0,0,5238,18458,0,2105,6600,1,0,2104,6413,1,0,8705,27.1,14635,33.7,15.6,8517,19.6,15085
Arizona,3000645,41225,53217,2418267,33224,2410581,42752,1529482,21,1524713,27,826020,11.3,824176,14.6,1456845,1464100,79700,0,7152,1103452,1307001,662,344739,474420,6630,231,344705,472612,6628,231,819390,21,1524713,27,11.3,817548,14.5,1529482
Bureau of Prisons,74690,N/A,N/A,78795,N/A,78795,N/A,48186,N/A,48186,N/A,30234,N/A,30234,N/A,43290,31400,0,0,0,31310,47485,0,11309,18925,0,0,11309,18925,0,0,30234,N/A,48186,N/A,0,30234,0,48186
California,16057300,40639,52445,11428034,28923,11410174,37267,7738923,19.6,7724505,25.2,3614744,9.1,3611446,11.8,7718100,7864800,474400,0,8834,5554712,5864319,169,1724566,1881224,8928,26,1723971,1878529,8920,26,3605816,19.6,7724505,25.2,9.1,3602526,11.8,7738923
Colorado,2331020,40478,51809,1817050,31553,1814767,40335,1165790,20.2,1164062,25.9,665380,11.6,664796,14.8,1102920,1170100,58000,0,29103,886397,901079,471,303573,333349,28356,102,303525,332845,28324,102,637024,20.2,1164062,25.9,11.1,636472,14.1,1165790
Connecticut,1642625,46073,57883,1345350,37735,1343238,47333,984384,27.6,982934,34.6,374997,10.5,374464,13.2,837525,762400,42700,0,27501,600006,717724,119,133060,214521,27402,14,132948,214122,27380,14,347595,27.6,982934,34.6,9.7,347084,12.2,984384
District of Columbia,385925,54683,66817,250090,35436,250024,43288,112244,15.9,112196,19.4,58029,8.2,58019,10,201825,176300,7800,0,2,100957,149131,0,27316,30149,556,8,27315,30140,556,8,57473,15.9,112196,19.4,8.1,57463,9.9,112244
